State_Code,State_Abv,Damage_Code,Damage_Descp,Amount
26,MI,31,Excess Moisture/Precip/Rain,44690143
26,MI,41,Frost,3070098
26,MI,42,Freeze,4912982
26,MI,43,Cold Winter,3316707
26,MI,44,Cold Wet Weather,5089355
26,MI,51,Flood,97162
26,MI,61,Wind/Excess Wind,74264
26,MI,62,Hot Wind,17452
26,MI,64,Tornado,350
26,MI,71,Insects,21522
26,MI,81,Plant Disease,776802
26,MI,82,Mycotoxin (Aflatoxin),2021336
26,MI,93,Wildlife,458335
26,MI,99,Other (Snow-Lightning-Etc.),1409505
27,MN,1,Decline in Price,4327003
27,MN,9,Asian Soybean Rust,1513
27,MN,11,Drought,6769970
27,MN,12,Heat,4313202
27,MN,21,Hail,19512881
27,MN,31,Excess Moisture/Precip/Rain,38986604
27,MN,41,Frost,674614
27,MN,42,Freeze,1804433
27,MN,43,Cold Winter,2016374
27,MN,44,Cold Wet Weather,3842924
27,MN,51,Flood,35832
27,MN,55,Area Plan Crops Only,302376
27,MN,61,Wind/Excess Wind,1997726
27,MN,62,Hot Wind,59805
27,MN,64,Tornado,12106
27,MN,71,Insects,58990
27,MN,81,Plant Disease,1673749
27,MN,93,Wildlife,274156
27,MN,99,Other (Snow-Lightning-Etc.),568271
29,MO,1,Decline in Price,6882259
29,MO,11,Drought,3260549
29,MO,12,Heat,178051
29,MO,13,Failure Irrig Supply,26994
29,MO,14,Failure Irrig Equip,41394
29,MO,15,Inability to Prepare Land for Irr,23727
29,MO,21,Hail,585858
29,MO,31,Excess Moisture/Precip/Rain,466744931
29,MO,41,Frost,25759
29,MO,42,Freeze,189563
29,MO,43,Cold Winter,1042272
29,MO,44,Cold Wet Weather,5750798
29,MO,51,Flood,23924341
29,MO,55,Area Plan Crops Only,160706
29,MO,61,Wind/Excess Wind,654817
29,MO,62,Hot Wind,191914
29,MO,63,Cyclone,1632
29,MO,71,Insects,28343
29,MO,81,Plant Disease,770858
29,MO,82,Mycotoxin (Aflatoxin),5410271
29,MO,87,Falling Numbers,1215
29,MO,91,Fire,3662
29,MO,93,Wildlife,139450
29,MO,97,Earthquake,21031
29,MO,99,Other (Snow-Lightning-Etc.),350604
28,MS,1,Decline in Price,1405398
28,MS,11,Drought,16237284
28,MS,12,Heat,14597084
28,MS,21,Hail,101690
28,MS,31,Excess Moisture/Precip/Rain,78983282
28,MS,42,Freeze,22520
28,MS,44,Cold Wet Weather,1003913
28,MS,51,Flood,4354877
28,MS,61,Wind/Excess Wind,469247
28,MS,71,Insects,2910
28,MS,81,Plant Disease,75523
28,MS,82,Mycotoxin (Aflatoxin),48351
28,MS,91,Fire,3422
28,MS,93,Wildlife,461999
28,MS,97,Earthquake,30034
28,MS,99,Other (Snow-Lightning-Etc.),170759
30,MT,1,Decline in Price,5385069
30,MT,11,Drought,36850195
30,MT,12,Heat,6422380
30,MT,13,Failure Irrig Supply,256518
30,MT,14,Failure Irrig Equip,6531
30,MT,21,Hail,57341971
30,MT,31,Excess Moisture/Precip/Rain,422791
30,MT,41,Frost,2115724
30,MT,42,Freeze,2107713
30,MT,43,Cold Winter,1306604
30,MT,44,Cold Wet Weather,141358
30,MT,51,Flood,9902
30,MT,55,Area Plan Crops Only,721241
30,MT,61,Wind/Excess Wind,1089952
30,MT,62,Hot Wind,158654
30,MT,71,Insects,476630
30,MT,81,Plant Disease,463703
30,MT,82,Mycotoxin (Aflatoxin),23852
30,MT,93,Wildlife,62412
30,MT,99,Other (Snow-Lightning-Etc.),15166
37,NC,1,Decline in Price,2095879
37,NC,11,Drought,80684313
37,NC,12,Heat,14463812
37,NC,21,Hail,1627102
37,NC,22,Excess Sun,76903
37,NC,31,Excess Moisture/Precip/Rain,89973493
37,NC,41,Frost,7324176
37,NC,42,Freeze,9354249
37,NC,43,Cold Winter,128632
37,NC,44,Cold Wet Weather,2511579
37,NC,51,Flood,161298
37,NC,55,Area Plan Crops Only,64678
37,NC,61,Wind/Excess Wind,1522379
37,NC,62,Hot Wind,14195
37,NC,71,Insects,6768
37,NC,81,Plant Disease,9990964
37,NC,82,Mycotoxin (Aflatoxin),3914
37,NC,87,Falling Numbers,2133
37,NC,92,Hurricane/Tropical Depression,391314
37,NC,93,Wildlife,751615
37,NC,95,House Burn (Pole Burn),10245
37,NC,99,Other (Snow-Lightning-Etc.),50256
38,ND,1,Decline in Price,13856907
38,ND,11,Drought,47633211
38,ND,12,Heat,7220674
38,ND,13,Failure Irrig Supply,2274
38,ND,14,Failure Irrig Equip,12680
38,ND,15,Inability to Prepare Land for Irr,8398
38,ND,21,Hail,39976965
38,ND,31,Excess Moisture/Precip/Rain,130103973
38,ND,41,Frost,4427777
38,ND,42,Freeze,5976727
38,ND,43,Cold Winter,55039
38,ND,44,Cold Wet Weather,10967629
38,ND,51,Flood,138058
38,ND,55,Area Plan Crops Only,1387732
38,ND,61,Wind/Excess Wind,19918574
38,ND,62,Hot Wind,5203188
38,ND,64,Tornado,11358
38,ND,71,Insects,678811
38,ND,81,Plant Disease,9338634
38,ND,82,Mycotoxin (Aflatoxin),4994915
38,ND,87,Falling Numbers,58931
38,ND,91,Fire,112540
38,ND,93,Wildlife,3000556
38,ND,97,Earthquake,7311
38,ND,99,Other (Snow-Lightning-Etc.),565577
31,NE,1,Decline in Price,6899642
31,NE,11,Drought,16816353
31,NE,12,Heat,1914415
31,NE,13,Failure Irrig Supply,786542
31,NE,14,Failure Irrig Equip,14001
31,NE,21,Hail,49591923
31,NE,31,Excess Moisture/Precip/Rain,49827770
31,NE,41,Frost,354002
31,NE,42,Freeze,4265071
31,NE,43,Cold Winter,40539994
31,NE,44,Cold Wet Weather,2141908
31,NE,51,Flood,1929749
31,NE,55,Area Plan Crops Only,269834
31,NE,61,Wind/Excess Wind,2327027
31,NE,62,Hot Wind,190223
31,NE,64,Tornado,36399
31,NE,71,Insects,103073
31,NE,81,Plant Disease,1230171
31,NE,82,Mycotoxin (Aflatoxin),554435
31,NE,91,Fire,2542
31,NE,93,Wildlife,285922
31,NE,99,Other (Snow-Lightning-Etc.),1156012
33,NH,21,Hail,3361
33,NH,31,Excess Moisture/Precip/Rain,3614
33,NH,43,Cold Winter,48285
33,NH,99,Other (Snow-Lightning-Etc.),72
34,NJ,1,Decline in Price,56826
34,NJ,11,Drought,2910105
34,NJ,12,Heat,298863
34,NJ,13,Failure Irrig Supply,20707
34,NJ,31,Excess Moisture/Precip/Rain,527386
34,NJ,41,Frost,55366
34,NJ,42,Freeze,89110
34,NJ,43,Cold Winter,120625
34,NJ,44,Cold Wet Weather,214523
34,NJ,61,Wind/Excess Wind,115073
34,NJ,81,Plant Disease,7452
34,NJ,93,Wildlife,71703
34,NJ,99,Other (Snow-Lightning-Etc.),3181
35,NM,1,Decline in Price,63788
35,NM,11,Drought,2195096
35,NM,12,Heat,495915
35,NM,13,Failure Irrig Supply,1205695
35,NM,14,Failure Irrig Equip,82694
35,NM,21,Hail,3031884
35,NM,31,Excess Moisture/Precip/Rain,213944
35,NM,42,Freeze,724969
35,NM,43,Cold Winter,5585
35,NM,44,Cold Wet Weather,43815
35,NM,55,Area Plan Crops Only,891618
35,NM,61,Wind/Excess Wind,656851
35,NM,62,Hot Wind,290889
35,NM,71,Insects,131750
35,NM,81,Plant Disease,22624
35,NM,93,Wildlife,30560
35,NM,99,Other (Snow-Lightning-Etc.),44437
32,NV,12,Heat,184157
32,NV,13,Failure Irrig Supply,12256574
32,NV,14,Failure Irrig Equip,40400
32,NV,31,Excess Moisture/Precip/Rain,47691
32,NV,43,Cold Winter,49215
32,NV,55,Area Plan Crops Only,7390502
32,NV,61,Wind/Excess Wind,94502
36,NY,1,Decline in Price,320416
36,NY,11,Drought,671430
36,NY,12,Heat,2013296
36,NY,21,Hail,1447779
36,NY,22,Excess Sun,2025
36,NY,31,Excess Moisture/Precip/Rain,22704353
36,NY,41,Frost,6040323
36,NY,42,Freeze,3179021
36,NY,43,Cold Winter,4003682
36,NY,44,Cold Wet Weather,4694021
36,NY,51,Flood,3979
36,NY,55,Area Plan Crops Only,149076
36,NY,61,Wind/Excess Wind,29716
36,NY,81,Plant Disease,14686
36,NY,93,Wildlife,524351
36,NY,99,Other (Snow-Lightning-Etc.),221521
39,OH,1,Decline in Price,18661256
39,OH,11,Drought,4758904
39,OH,12,Heat,25283
39,OH,13,Failure Irrig Supply,6713
39,OH,15,Inability to Prepare Land for Irr,1897
39,OH,21,Hail,222296
39,OH,31,Excess Moisture/Precip/Rain,149263431
39,OH,41,Frost,136652
39,OH,42,Freeze,121162
39,OH,43,Cold Winter,314314
39,OH,44,Cold Wet Weather,1761207
39,OH,51,Flood,1610770
39,OH,61,Wind/Excess Wind,151495
39,OH,63,Cyclone,967
39,OH,71,Insects,20690
39,OH,81,Plant Disease,464160
39,OH,82,Mycotoxin (Aflatoxin),2434877
39,OH,91,Fire,21104
39,OH,93,Wildlife,136165
39,OH,99,Other (Snow-Lightning-Etc.),597198
40,OK,1,Decline in Price,4701987
40,OK,11,Drought,51733860
40,OK,12,Heat,203228
40,OK,21,Hail,12621907
40,OK,31,Excess Moisture/Precip/Rain,39713807
40,OK,41,Frost,1378
40,OK,42,Freeze,6314506
40,OK,43,Cold Winter,626976
40,OK,44,Cold Wet Weather,312271
40,OK,51,Flood,2944365
40,OK,55,Area Plan Crops Only,3106497
40,OK,61,Wind/Excess Wind,1120503
40,OK,62,Hot Wind,741487
40,OK,64,Tornado,65727
40,OK,71,Insects,120451
40,OK,81,Plant Disease,277431
40,OK,82,Mycotoxin (Aflatoxin),196631
40,OK,87,Falling Numbers,1506
40,OK,93,Wildlife,107235
40,OK,97,Earthquake,7129
40,OK,99,Other (Snow-Lightning-Etc.),562924
41,OR,1,Decline in Price,2933499
41,OR,11,Drought,18637802
41,OR,12,Heat,10620210
41,OR,13,Failure Irrig Supply,7066026
41,OR,21,Hail,892775
41,OR,31,Excess Moisture/Precip/Rain,360898
41,OR,41,Frost,136005
41,OR,42,Freeze,5634761
41,OR,43,Cold Winter,547091
41,OR,44,Cold Wet Weather,40589
41,OR,55,Area Plan Crops Only,1007707
41,OR,61,Wind/Excess Wind,167018
41,OR,62,Hot Wind,237539
41,OR,81,Plant Disease,222502
41,OR,91,Fire,107107
41,OR,93,Wildlife,326698
41,OR,99,Other (Snow-Lightning-Etc.),15359
42,PA,1,Decline in Price,1225170
42,PA,11,Drought,4347880
42,PA,12,Heat,246142
42,PA,21,Hail,2084256
42,PA,22,Excess Sun,641840
42,PA,31,Excess Moisture/Precip/Rain,14111543
42,PA,41,Frost,39350
42,PA,42,Freeze,788462
42,PA,43,Cold Winter,604476
42,PA,44,Cold Wet Weather,277059
42,PA,55,Area Plan Crops Only,217015
42,PA,61,Wind/Excess Wind,133082
42,PA,62,Hot Wind,38
42,PA,71,Insects,35343
42,PA,81,Plant Disease,31439
42,PA,82,Mycotoxin (Aflatoxin),30899
42,PA,87,Falling Numbers,1321
42,PA,93,Wildlife,491900
42,PA,99,Other (Snow-Lightning-Etc.),212462
44,RI,11,Drought,57118
44,RI,43,Cold Winter,3306
44,RI,93,Wildlife,2444
45,SC,1,Decline in Price,564812
45,SC,11,Drought,42103789
45,SC,12,Heat,7973622
45,SC,13,Failure Irrig Supply,14234
45,SC,21,Hail,138727
45,SC,31,Excess Moisture/Precip/Rain,63868160
45,SC,41,Frost,29944
45,SC,42,Freeze,7253994
45,SC,43,Cold Winter,3480
45,SC,44,Cold Wet Weather,485317
45,SC,51,Flood,289985
45,SC,55,Area Plan Crops Only,127192
45,SC,61,Wind/Excess Wind,71255
45,SC,62,Hot Wind,58603
45,SC,81,Plant Disease,1537336
45,SC,82,Mycotoxin (Aflatoxin),7810
45,SC,93,Wildlife,698352
45,SC,99,Other (Snow-Lightning-Etc.),188639
46,SD,1,Decline in Price,8585787
46,SD,11,Drought,48349143
46,SD,12,Heat,312336
46,SD,13,Failure Irrig Supply,42690
46,SD,21,Hail,40359821
46,SD,31,Excess Moisture/Precip/Rain,41692688
46,SD,41,Frost,473911
46,SD,42,Freeze,2864641
46,SD,43,Cold Winter,26274481
46,SD,44,Cold Wet Weather,2621401
46,SD,51,Flood,101739
46,SD,55,Area Plan Crops Only,329567
46,SD,61,Wind/Excess Wind,1639596
46,SD,62,Hot Wind,283167
46,SD,63,Cyclone,1909
46,SD,64,Tornado,3360
46,SD,71,Insects,29887
46,SD,81,Plant Disease,1240096
46,SD,82,Mycotoxin (Aflatoxin),532000
46,SD,91,Fire,503
46,SD,93,Wildlife,185278
46,SD,99,Other (Snow-Lightning-Etc.),2776269
47,TN,1,Decline in Price,732970
47,TN,11,Drought,2663276
47,TN,12,Heat,246873
47,TN,13,Failure Irrig Supply,32908
47,TN,21,Hail,178031
47,TN,31,Excess Moisture/Precip/Rain,26686857
47,TN,41,Frost,170661
47,TN,42,Freeze,539236
47,TN,44,Cold Wet Weather,1350948
47,TN,51,Flood,9829348
47,TN,61,Wind/Excess Wind,68154
47,TN,71,Insects,4441
47,TN,81,Plant Disease,302403
47,TN,82,Mycotoxin (Aflatoxin),20969
47,TN,91,Fire,91251
47,TN,92,Hurricane/Tropical Depression,1675
47,TN,93,Wildlife,533949
47,TN,95,House Burn (Pole Burn),785953
47,TN,99,Other (Snow-Lightning-Etc.),4264
48,TX,1,Decline in Price,4920551
48,TX,11,Drought,59780141
48,TX,12,Heat,7388218
48,TX,13,Failure Irrig Supply,37418902
48,TX,14,Failure Irrig Equip,38732
48,TX,15,Inability to Prepare Land for Irr,16919
48,TX,21,Hail,96653045
48,TX,31,Excess Moisture/Precip/Rain,256389043
48,TX,41,Frost,45910
48,TX,42,Freeze,1783199
48,TX,43,Cold Winter,51957
48,TX,44,Cold Wet Weather,7114785
48,TX,51,Flood,3876139
48,TX,55,Area Plan Crops Only,6178537
48,TX,61,Wind/Excess Wind,16093746
48,TX,62,Hot Wind,5924665
48,TX,64,Tornado,248553
48,TX,71,Insects,1522799
48,TX,81,Plant Disease,1028485
48,TX,82,Mycotoxin (Aflatoxin),30871
48,TX,91,Fire,3486
48,TX,93,Wildlife,1195462
48,TX,97,Earthquake,36590
48,TX,99,Other (Snow-Lightning-Etc.),176848
49,UT,1,Decline in Price,42110
49,UT,11,Drought,238999
49,UT,12,Heat,217181
49,UT,13,Failure Irrig Supply,623516
49,UT,21,Hail,69954
49,UT,31,Excess Moisture/Precip/Rain,50671
49,UT,41,Frost,199058
49,UT,42,Freeze,374958
49,UT,43,Cold Winter,54858
49,UT,44,Cold Wet Weather,8685
49,UT,55,Area Plan Crops Only,1104403
49,UT,61,Wind/Excess Wind,11098
49,UT,62,Hot Wind,52249
49,UT,71,Insects,42750
49,UT,93,Wildlife,7501
51,VA,1,Decline in Price,1673157
51,VA,11,Drought,10120701
51,VA,12,Heat,2607290
51,VA,21,Hail,1094154
51,VA,22,Excess Sun,557808
51,VA,31,Excess Moisture/Precip/Rain,11659362
51,VA,41,Frost,987405
51,VA,42,Freeze,2453555
51,VA,43,Cold Winter,521324
51,VA,44,Cold Wet Weather,403426
51,VA,51,Flood,70512
51,VA,55,Area Plan Crops Only,97125
51,VA,61,Wind/Excess Wind,283714
51,VA,71,Insects,23532
